doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
course-list,data/dang-ky-hoc-phan/course-list.md,Danh mục môn học UIT,https://student.uit.edu.vn/danh-muc-mon-hoc-dai-hoc,2026-09-19,not-stated,permission-not-verified
k18-ai-cu-nhan-nganh-tri-tue-nhan-tao-ap-dung-tu-khoa-18-20-83330a33,data/dang-ky-hoc-phan/k18-ai-cu-nhan-nganh-tri-tue-nhan-tao-ap-dung-tu-khoa-18-20-83330a33.md,Lựa chọn học phần — Cử nhân ngành Trí tuệ Nhân tạo (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/cu-nhan-nganh-tri-tue-nhan-tao-ap-dung-tu-khoa-18-2023,2026-09-19,not-stated,permission-not-verified
k18-ce-cu-nhan-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-18-2-02cbbd1e,data/dang-ky-hoc-phan/k18-ce-cu-nhan-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-18-2-02cbbd1e.md,Lựa chọn học phần — Cử nhân ngành Kỹ thuật Máy tính (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/cu-nhan-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-18-2023,2026-09-19,not-stated,permission-not-verified
k18-cs-cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-18-2-8e0c37e7,data/dang-ky-hoc-phan/k18-cs-cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-18-2-8e0c37e7.md,Lựa chọn học phần — Cử nhân ngành Khoa học Máy tính (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-18-2023,2026-09-19,not-stated,permission-not-verified
k18-ds-cu-nhan-nganh-khoa-hoc-du-lieu-ap-dung-tu-khoa-18-20-6bf6ff8a,data/dang-ky-hoc-phan/k18-ds-cu-nhan-nganh-khoa-hoc-du-lieu-ap-dung-tu-khoa-18-20-6bf6ff8a.md,Lựa chọn học phần — Cử nhân ngành Khoa học Dữ liệu (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/cu-nhan-khoa-hoc-nganh-khoa-hoc-du-lieu-ap-dung-tu-khoa-18-2023,2026-09-19,not-stated,permission-not-verified
k18-is-cu-nhan-nganh-he-thong-thong-tin-ap-dung-tu-khoa-18-994381a5,data/dang-ky-hoc-phan/k18-is-cu-nhan-nganh-he-thong-thong-tin-ap-dung-tu-khoa-18-994381a5.md,Lựa chọn học phần — Cử nhân ngành Hệ thống Thông tin (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/cu-nhan-nganh-he-thong-thong-tin-ap-dung-tu-khoa-18-2023,2026-09-19,not-stated,permission-not-verified
k18-it-cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-18-741ba8fe,data/dang-ky-hoc-phan/k18-it-cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-18-741ba8fe.md,Lựa chọn học phần — Cử nhân ngành Công nghệ Thông tin (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-18-2023,2026-09-19,not-stated,permission-not-verified
k18-nc-cu-nhan-nganh-mang-may-tinh-va-truyen-thong-du-lieu-fc58eb8e,data/dang-ky-hoc-phan/k18-nc-cu-nhan-nganh-mang-may-tinh-va-truyen-thong-du-lieu-fc58eb8e.md,Lựa chọn học phần — Cử nhân ngành Mạng máy tính và Truyền thông dữ liệu (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/cu-nhan-nganh-mang-may-tinh-va-truyen-thong-du-lieu-ap-dung-tu-khoa-18-2023,2026-09-19,not-stated,permission-not-verified
k18-se-cu-nhan-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-18-2-e01fcd2c,data/dang-ky-hoc-phan/k18-se-cu-nhan-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-18-2-e01fcd2c.md,Lựa chọn học phần — Cử nhân ngành Kỹ thuật Phần mềm (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/cu-nhan-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-18-2023,2026-09-19,not-stated,permission-not-verified
course-summaries,data/dang-ky-hoc-phan/course-summaries.md,Bảng tóm tắt môn học UIT,https://student.uit.edu.vn/content/bang-tom-tat-mon-hoc,2026-09-19,not-stated,permission-not-verified
