url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://student.uit.edu.vn/danh-muc-mon-hoc-dai-hoc,course-list,Danh mục môn học UIT,staff,all,course-catalog,vi,not-stated,permission-not-verified
https://student.uit.edu.vn/content/cu-nhan-nganh-tri-tue-nhan-tao-ap-dung-tu-khoa-18-2023,k18-ai-cu-nhan-nganh-tri-tue-nhan-tao-ap-dung-tu-khoa-18-20-83330a33,Lựa chọn học phần — Cử nhân ngành Trí tuệ Nhân tạo (Áp dụng từ khóa 18 - 2023),student,ai,curriculum-selection,vi,not-stated,permission-not-verified
https://student.uit.edu.vn/content/cu-nhan-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-18-2023,k18-ce-cu-nhan-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-18-2-02cbbd1e,Lựa chọn học phần — Cử nhân ngành Kỹ thuật Máy tính (Áp dụng từ khóa 18 - 2023),student,ce,curriculum-selection,vi,not-stated,permission-not-verified
https://student.uit.edu.vn/content/cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-18-2023,k18-cs-cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-18-2-8e0c37e7,Lựa chọn học phần — Cử nhân ngành Khoa học Máy tính (Áp dụng từ khóa 18 - 2023),student,cs,curriculum-selection,vi,not-stated,permission-not-verified
https://student.uit.edu.vn/content/cu-nhan-khoa-hoc-nganh-khoa-hoc-du-lieu-ap-dung-tu-khoa-18-2023,k18-ds-cu-nhan-nganh-khoa-hoc-du-lieu-ap-dung-tu-khoa-18-20-6bf6ff8a,Lựa chọn học phần — Cử nhân ngành Khoa học Dữ liệu (Áp dụng từ khóa 18 - 2023),student,ds,curriculum-selection,vi,not-stated,permission-not-verified
https://student.uit.edu.vn/content/cu-nhan-nganh-he-thong-thong-tin-ap-dung-tu-khoa-18-2023,k18-is-cu-nhan-nganh-he-thong-thong-tin-ap-dung-tu-khoa-18-994381a5,Lựa chọn học phần — Cử nhân ngành Hệ thống Thông tin (Áp dụng từ khóa 18 - 2023),student,is,curriculum-selection,vi,not-stated,permission-not-verified
https://student.uit.edu.vn/content/cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-18-2023,k18-it-cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-18-741ba8fe,Lựa chọn học phần — Cử nhân ngành Công nghệ Thông tin (Áp dụng từ khóa 18 - 2023),student,it,curriculum-selection,vi,not-stated,permission-not-verified
https://student.uit.edu.vn/content/cu-nhan-nganh-mang-may-tinh-va-truyen-thong-du-lieu-ap-dung-tu-khoa-18-2023,k18-nc-cu-nhan-nganh-mang-may-tinh-va-truyen-thong-du-lieu-fc58eb8e,Lựa chọn học phần — Cử nhân ngành Mạng máy tính và Truyền thông dữ liệu (Áp dụng từ khóa 18 - 2023),student,nc,curriculum-selection,vi,not-stated,permission-not-verified
https://student.uit.edu.vn/content/cu-nhan-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-18-2023,k18-se-cu-nhan-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-18-2-e01fcd2c,Lựa chọn học phần — Cử nhân ngành Kỹ thuật Phần mềm (Áp dụng từ khóa 18 - 2023),student,se,curriculum-selection,vi,not-stated,permission-not-verified
https://student.uit.edu.vn/content/bang-tom-tat-mon-hoc,course-summaries,Bảng tóm tắt môn học UIT,staff,all,course-description,vi,not-stated,permission-not-verified
